번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"50","00981016","고려포리머 65R","KOSPI","신주인수권증서","보통주","2016/08/31","2016/09/07",,,,,"0","30395807",,
"51","03853018","골드퍼시픽 37R","KOSDAQ","신주인수권증서","보통주","2018/10/08","2018/10/16",,,,,"0","7997936",,
"52","CYM16017","골든센츄리 3R","KOSDAQ","신주인수권증서","보통주","2018/01/04","2018/01/11",,,,,"0","16897626",,
"53","CYM16019","골든센츄리 4R","KOSDAQ","신주인수권증서","보통주","2019/10/29","2019/11/05",,,,,"0","65377359",,
"54","0901501B","광진윈텍 4R","KOSDAQ","신주인수권증서","보통주","2021/07/06","2021/07/13",,,,,"0","7698255",,
"55","14091012","광희리츠 4R","KOSPI","신주인수권증서","보통주","2012/01/18","2012/01/27",,,,,"0","1494185",,
"56","05327018","구영테크 9R","KOSDAQ","신주인수권증서","보통주","2018/08/23","2018/08/30",,,,,"0","5277976",,
"57","0076901B","국도화학 13R","KOSPI","신주인수권증서","보통주","2021/07/28","2021/08/04",,,,,"0","1275293",,
"58","00532019","국동 24R","KOSPI","신주인수권증서","보통주","2019/05/31","2019/06/10",,,,,"0","13496530",,
"59","00114017","국보 5R","KOSPI","신주인수권증서","보통주","2017/05/30","2017/06/07",,,,,"0","523308",,
"60","00605012","국영지앤엠11R","KOSDAQ","신주인수권증서","보통주","2012/01/10","2012/01/17",,,,,"0","8997676",,
"61","3077501B","국전약품 5R","KOSDAQ","신주인수권증서","보통주","2021/05/26","2021/06/02",,,,,"0","9497509",,
"62","00225014","근화제약30R","KOSPI","신주인수권증서","보통주","2014/11/26","2014/12/03",,,,,"0","9698553",,
"63","18779017","나노 10R","KOSDAQ","신주인수권증서","보통주","2017/01/11","2017/01/18",,,,,"0","9996644",,
"64","18779018","나노 14R","KOSDAQ","신주인수권증서","보통주","2018/06/07","2018/06/15",,,,,"0","7851379",,
"65","15191013","나노스 12R","KOSDAQ","신주인수권증서","보통주","2013/05/31","2013/06/08",,,,,"0","1168588",,
"66","09197020","나노캠텍 7R","KOSDAQ","신주인수권증서","보통주","2010/12/20","2010/12/25",,,,,"0","1367938",,
"67","13861019","나이벡 13R","KOSDAQ","신주인수권증서","보통주","2019/05/23","2019/05/30",,,,,"0","3310516",,
"68","13861015","나이벡 7R","KOSDAQ","신주인수권증서","보통주","2015/08/18","2015/08/25",,,,,"0","758853",,
"69","07277016","네오디안테크놀로지 18R","KOSDAQ","신주인수권증서","보통주","2016/02/05","2016/02/17",,,,,"0","14358673",,
"70","0948601B","네오리진 25R","KOSDAQ","신주인수권증서","보통주","2021/10/01","2021/10/12",,,,,"0","29495610",,
"71","2906601A","네오펙트 35R","KOSDAQ","신주인수권증서","보통주","2020/10/23","2020/10/30",,,,,"0","6169311",,
"72","10140011","네오피델리티 11R","KOSDAQ","신주인수권증서","보통주","2011/11/16","2011/11/23",,,,,"0","1632075",,
"73","15346016","네이블 22R","KOSDAQ","신주인수권증서","보통주","2016/11/18","2016/11/25",,,,,"0","1605736",,
"74","00739019","네이처셀 46R","KOSDAQ","신주인수권증서","보통주","2019/08/16","2019/08/23",,,,,"0","8039821",,
"75","11057012","넥솔론 4R","KOSPI","신주인수권증서","보통주","2012/09/07","2012/09/14",,,,,"0","29303422",,
"76","08914016","넥스턴 4R","KOSDAQ","신주인수권증서","보통주","2016/10/11","2016/10/18",,,,,"0","1660501",,
"77","1947001C","노바렉스 6R","KOSDAQ","신주인수권증서","보통주","2022/07/25","2022/08/01",,,,,"0","893429",,
"78","00628013","녹십자 20R","KOSPI","신주인수권증서","보통주","2013/05/13","2013/05/21",,,,,"0","796323",,
"79","14228019","녹십자엠에스 4R","KOSDAQ","신주인수권증서","보통주","2019/10/22","2019/10/29",,,,,"0","11265891",,
"80","01234016","뉴인텍 13R","KOSDAQ","신주인수권증서","보통주","2016/07/06","2016/07/13",,,,,"0","10995438",,
"81","06426016","다날 10R","KOSDAQ","신주인수권증서","보통주","2016/05/17","2016/05/24",,,,,"0","5271380",,
"82","0682401B","다원시스 12R","KOSDAQ","신주인수권증서","보통주","2021/04/02","2021/04/09",,,,,"0","4480930",,
"83","0682401C","다원시스 13R","KOSDAQ","신주인수권증서","보통주","2022/04/05","2022/04/12",,,,,"0","2976019",,
"84","06824015","다원시스 7R","KOSDAQ","신주인수권증서","보통주","2015/11/18","2015/11/25",,,,,"0","1886095",,
"85","01559016","대경기계 15R","KOSPI","신주인수권증서","보통주","2016/02/11","2016/02/18",,,,,"0","15997647",,
"86","01559017","대경기계 16R","KOSPI","신주인수권증서","보통주","2017/02/10","2017/02/17",,,,,"0","19996904",,
"87","001687","대상2우B","KOSPI","주권","신형우선주","1999/04/29","2011/05/09",,,,"음식료품","1000","994279",,
"88","12882011","대성산업 2R","KOSPI","신주인수권증서","보통주","2011/04/12","2011/04/19",,,,,"0","1660398",,
"89","12882013","대성산업 4R","KOSPI","신주인수권증서","보통주","2013/06/14","2013/06/21",,,,,"0","7227664",,
"90","12882014","대성산업 8R","KOSPI","신주인수권증서","보통주","2015/01/08","2015/01/15",,,,,"0","19963628",,
