번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"50","0340201A","두산중공업 40R","KOSPI","신주인수권증서","보통주","2020/11/18","2020/11/25",,,,,"0","97090343",,
"51","0340201C","두산중공업 44R","KOSPI","신주인수권증서","보통주","2022/01/21","2022/01/28",,,,,"0","66063103",,
"52","3362601A","두산퓨얼셀 9R","KOSPI","신주인수권증서","보통주","2020/11/20","2020/11/27",,,,,"0","9326843",,
"53","20365019","드림시큐리티 6R","KOSDAQ","신주인수권증서","보통주","2019/10/22","2019/10/29",,,,,"0","14793978",,
"54","1926501A","드림텍 18R","KOSPI","신주인수권증서","보통주","2020/11/20","2020/11/27",,,,,"0","2959936",,
"55","09220019","디아이씨6R","KOSPI","신주인수권증서","보통주","2019/07/24","2019/07/31",,,,,"0","11921493",,
"56","03343019","디에스티 57R","KOSDAQ","신주인수권증서","보통주","2019/07/24","2019/07/31",,,,,"0","24646541",,
"57","1271201A","디엔에이링크 17R","KOSDAQ","신주인수권증서","보통주","2020/11/17","2020/11/24",,,,,"0","2492748",,
"58","11381018","디젠스 9R","KOSDAQ","신주인수권증서","보통주","2018/06/01","2018/06/11",,,,,"0","9996552",,
"59","2151001B","로보로보 6R","KOSDAQ","신주인수권증서","보통주","2021/07/12","2021/07/19",,,,,"0","2538801",,
"60","HKG19019","로스웰 3R","KOSDAQ","신주인수권증서","보통주","2019/06/24","2019/07/01",,,,,"0","50993919",,
"61","03235018","롯데관광개발 8R","KOSPI","신주인수권증서","보통주","2018/09/19","2018/10/01",,,,,"0","17484363",,
"62","3305901B","롯데리츠 3R","KOSPI","신주인수권증서","보통주","2021/02/17","2021/02/24",,,,,"0","70985372",,
"63","0277401A","마니커 13R","KOSPI","신주인수권증서","보통주","2020/09/03","2020/09/10",,,,,"0","31980962",,
"64","0277401B","마니커 15R","KOSPI","신주인수권증서","보통주","2021/11/17","2021/11/24",,,,,"0","19034695",,
"65","1955001B","마니커에프앤지 4R","KOSDAQ","신주인수권증서","보통주","2021/05/11","2021/05/18",,,,,"0","4991634",,
"66","3770301C","맥스트 5R","KOSDAQ","신주인수권증서","보통주","2022/03/21","2022/03/28",,,,,"0","1004216",,
"67","0889801A","맥쿼리인프라 6R","KOSPI","신주인수권증서","보통주","2020/11/30","2020/12/07",,,,,"0","23112116",,
"68","0889801B","맥쿼리인프라 7R","KOSPI","신주인수권증서","보통주","2021/07/21","2021/07/28",,,,,"0","32601819",,
"69","0541801B","메디콕스 53R","KOSDAQ","신주인수권증서","보통주","2021/04/15","2021/04/22",,,,,"0","21490125",,
"70","0869001A","메디톡스 16R","KOSDAQ","신주인수권증서","보통주","2020/09/24","2020/10/06",,,,,"0","954150",,
"71","0581101B","멕아이씨에스 7R","KOSDAQ","신주인수권증서","보통주","2021/02/01","2021/02/08",,,,,"0","978228",,
"72","0171801A","명문제약 16R","KOSPI","신주인수권증서","보통주","2020/06/03","2020/06/10",,,,,"0","5653046",,
"73","01286019","모베이스전자 14R","KOSDAQ","신주인수권증서","보통주","2019/12/06","2019/12/13",,,,,"0","24996758",,
"74","1189901A","모트렉스 8R","KOSDAQ","신주인수권증서","보통주","2020/02/07","2020/02/14",,,,,"0","5437443",,
"75","06452018","바른전자 17R","KOSDAQ","신주인수권증서","보통주","2018/11/02","2018/11/09",,,,,"0","29989909",,
"76","1427601A","바이오리더스 38R","KOSDAQ","신주인수권증서","보통주","2020/10/22","2020/10/29",,,,,"0","8217248",,
"77","0038501B","보령제약 27R","KOSPI","신주인수권증서","보통주","2021/06/22","2021/06/29",,,,,"0","4423717",,
"78","00503018","부산주공 23R","KOSPI","신주인수권증서","보통주","2018/06/04","2018/06/12",,,,,"0","10397248",,
"79","0020701A","비비안 16R","KOSPI","신주인수권증서","보통주","2020/09/01","2020/09/08",,,,,"0","12993377",,
"80","10009018","삼강엠앤티 6R","KOSDAQ","신주인수권증서","보통주","2018/07/03","2018/07/10",,,,,"0","6997178",,
"81","00962019","삼보산업 7R","KOSDAQ","신주인수권증서","보통주","2019/11/20","2019/11/27",,,,,"0","11997378",,
"82","2079401C","삼성바이오로직스 3R","KOSPI","신주인수권증서","보통주","2022/03/23","2022/03/30",,,,,"0","4339688",,
"83","00136018","삼성제약 33R","KOSPI","신주인수권증서","보통주","2018/05/24","2018/05/31",,,,,"0","11188529",,
"84","01014018","삼성중공업 15R","KOSPI","신주인수권증서","보통주","2018/03/27","2018/04/03",,,,,"0","191920651",,
"85","0101401B","삼성중공업 18R","KOSPI","신주인수권증서","보통주","2021/10/14","2021/10/21",,,,,"0","199790168",,
"86","00052018","삼일제약 17R","KOSPI","신주인수권증서","보통주","2018/06/26","2018/07/03",,,,,"0","795385",,
"87","01123017","삼화전자공업 11R","KOSPI","신주인수권증서","보통주","2017/12/26","2018/01/04",,,,,"0","4557086",,
"88","02758019","상보 14R","KOSDAQ","신주인수권증서","보통주","2019/07/22","2019/07/29",,,,,"0","14992905",,
"89","09158018","상신이디피 11R","KOSDAQ","신주인수권증서","보통주","2018/06/08","2018/06/18",,,,,"0","1230357",,
"90","17832018","서진시스템 8R","KOSDAQ","신주인수권증서","보통주","2018/07/06","2018/07/13",,,,,"0","2658898",,
"91","01575018","성우하이텍 11R","KOSDAQ","신주인수권증서","보통주","2018/05/30","2018/06/07",,,,,"0","19994937",,
"92","0024201C","세기상사 10R","KOSPI","신주인수권증서","보통주","2022/07/12","2022/07/19",,,,,"0","1016176",,
"93","0530601B","세동 9R","KOSDAQ","신주인수권증서","보통주","2021/06/21","2021/06/28",,,,,"0","4798055",,
"94","0279701A","세하 35R","KOSPI","신주인수권증서","보통주","2020/07/08","2020/07/15",,,,,"0","22397927",,
"95","1452101A","세화아이엠씨 13R","KOSPI","신주인수권증서","보통주","2020/10/20","2020/10/27",,,,,"0","69995776",,
"96","06691019","손오공 10R","KOSDAQ","신주인수권증서","보통주","2019/08/16","2019/08/23",,,,,"0","4991293",,
"97","3363701C","솔루스첨단소재 12R","KOSPI","신주인수권증서","보통주","2022/04/21","2022/04/28",,,,,"0","4481002",,
"98","3363702C","솔루스첨단소재 13PR","KOSPI","신주인수권증서","보통주","2022/04/21","2022/04/28",,,,,"0","1086069",,
"99","29394018","신한알파리츠 4R","KOSPI","신주인수권증서","보통주","2019/01/07","2019/01/14",,,,,"0","9520745",,
"100","2939401A","신한알파리츠 5R","KOSPI","신주인수권증서","보통주","2020/04/29","2020/05/11",,,,,"0","4695165",,
"101","2939401C","신한알파리츠 6R","KOSPI","신주인수권증서","보통주","2022/03/23","2022/03/30",,,,,"0","21492382",,
"102","2228001A","심텍 5R","KOSDAQ","신주인수권증서","보통주","2020/04/07","2020/04/14",,,,,"0","7276494",,
"103","1022801A","쌍방울 8R","KOSPI","신주인수권증서","보통주","2020/07/23","2020/07/30",,,,,"0","99982902",,
"104","0102801B","쌍용정보통신 7R","KOSDAQ","신주인수권증서","보통주","2021/07/08","2021/07/15",,,,,"0","18793358",,
"105","20864019","썸에이지 8R","KOSDAQ","신주인수권증서","보통주","2019/06/18","2019/06/25",,,,,"0","21997423",,
"106","0508901B","쏠리드 17R","KOSDAQ","신주인수권증서","보통주","2021/06/01","2021/06/08",,,,,"0","7788290",,
"107","2970901C","씨에스베어링 4R","KOSDAQ","신주인수권증서","보통주","2022/05/23","2022/05/30",,,,,"0","3908548",,
"108","1126101B","씨에스윈드 3R","KOSPI","신주인수권증서","보통주","2021/01/12","2021/01/19",,,,,"0","3782444",,
