일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금
"2023/02/27","76500","170","0.22","76440","76750","76440","322126","24655647880"
"2023/02/24","76330","30","0.04","76300","76480","76100","17014","1297705280"
"2023/02/23","76300","-450","-0.59","76500","76520","76080","37430","2857222520"
"2023/02/22","76750","250","0.33","76680","76860","76560","36829","2827278870"
"2023/02/21","76500","-100","-0.13","76650","76650","76480","17956","1374777390"
"2023/02/20","76600","380","0.50","76250","76640","76250","56700","4339894530"
"2023/02/17","76220","420","0.55","75820","76430","75820","57930","4416253390"
"2023/02/16","75800","-300","-0.39","76100","76100","75700","22194","1684409160"
"2023/02/15","76100","190","0.25","75910","76270","75910","36276","2760947360"
"2023/02/14","75910","-300","-0.39","76220","76220","75850","27947","2122631850"
"2023/02/13","76210","410","0.54","75800","76340","75800","31655","2411051130"
"2023/02/10","75800","-480","-0.63","75880","75990","75510","33058","2504298890"
"2023/02/09","76280","280","0.37","76000","76400","76000","29928","2282698170"
"2023/02/08","76000","190","0.25","75820","76070","75700","28812","2186491620"
"2023/02/07","75810","170","0.22","75920","75930","75640","17084","1294006700"
"2023/02/06","75640","-250","-0.33","75600","75640","74960","61888","4663880720"
"2023/02/03","75890","-1000","-1.30","76600","76600","75690","96953","7381766290"
"2023/02/02","76890","390","0.51","76880","76930","76600","72379","5554282270"
"2023/02/01","76500","470","0.62","76600","76600","76260","23277","1777759190"
"2023/01/31","76030","-380","-0.50","76410","76450","75880","43746","3331969050"
"2023/01/30","76410","30","0.04","76380","76980","76320","35517","2713423140"
"2023/01/27","76380","-720","-0.93","77100","77100","76200","67891","5191708200"
"2023/01/26","77100","500","0.65","76650","77110","76650","80058","6162247670"
"2023/01/25","76600","70","0.09","76730","76870","76550","58136","4461775630"
"2023/01/20","76530","680","0.90","76090","76660","76090","58483","4473115510"
"2023/01/19","75850","-50","-0.07","76100","76200","75800","27762","2109814830"
"2023/01/18","75900","-300","-0.39","76200","76250","75720","61587","4682364910"
"2023/01/17","76200","-90","-0.12","76480","76500","76150","29333","2239707610"
"2023/01/16","76290","420","0.55","76300","76330","76000","68823","5244062570"
"2023/01/13","75870","300","0.40","75800","76150","75710","62584","4753089620"
"2023/01/12","75570","80","0.11","75490","75700","75270","24191","1827854920"
"2023/01/11","75490","110","0.15","75400","75700","75330","34349","2594190420"
"2023/01/10","75380","-170","-0.23","75300","75400","75040","72942","5486492840"
"2023/01/09","75550","440","0.59","75730","75920","75350","59803","4520520660"
"2023/01/06","75110","-690","-0.91","75750","75750","74980","44674","3358474010"
"2023/01/05","75800","30","0.04","75960","76050","75800","54587","4143011630"
"2023/01/04","75770","280","0.37","75610","75860","75610","73494","5564167120"
"2023/01/03","75490","340","0.45","75150","75510","75130","63795","4808183430"
"2023/01/02","75150","790","1.06","74400","75170","74400","35504","2665237730"
"2022/12/29","74360","-60","-0.08","74390","74470","74120","64308","4781082340"
"2022/12/28","74420","-60","-0.08","74480","74650","74390","33268","2477605940"
"2022/12/27","74480","-30","-0.04","74310","74490","74050","82008","6088909970"
"2022/12/26","74510","150","0.20","74400","74920","74400","26636","1985883600"
"2022/12/23","74360","-620","-0.83","74980","75350","74210","153286","11413886330"
"2022/12/22","74980","-220","-0.29","75200","75200","74850","32279","2420961760"
"2022/12/21","75200","460","0.62","75270","75410","75090","35267","2654713920"
"2022/12/20","74740","-490","-0.65","75240","75240","74700","53468","4004492010"
"2022/12/19","75230","250","0.33","75400","75450","74990","40057","3013015000"
"2022/12/16","74980","-240","-0.32","75200","75420","74970","47562","3572997660"
"2022/12/15","75220","-90","-0.12","75320","75610","75080","45926","3457809290"
"2022/12/14","75310","400","0.53","75010","75670","75010","33886","2555675540"
"2022/12/13","74910","-120","-0.16","75350","75350","74770","32549","2439087770"
"2022/12/12","75030","-250","-0.33","75490","75600","75030","32863","2476009640"
"2022/12/09","75280","-350","-0.46","75630","75750","75180","14296","1077408320"
"2022/12/08","75630","360","0.48","75280","75720","75280","35746","2703928280"
"2022/12/07","75270","270","0.36","75050","75320","74960","28331","2131055250"
"2022/12/06","75000","-120","-0.16","74500","75030","74360","41968","3131372370"
"2022/12/05","75120","-110","-0.15","75230","75230","74840","19688","1477246770"
"2022/12/02","75230","550","0.74","75500","75500","75040","19060","1433404640"
"2022/12/01","74680","30","0.04","75350","75350","74420","27612","2061847510"
"2022/11/30","74650","-310","-0.41","74960","75100","74460","57596","4298771180"
"2022/11/29","74960","-320","-0.43","75150","75220","74610","72026","5397776830"
"2022/11/28","75280","370","0.49","75000","75410","75000","25342","1908448520"
"2022/11/25","74910","-160","-0.21","75040","75270","74740","56320","4222549910"
"2022/11/24","75070","-390","-0.52","75460","75800","74940","79379","5963081950"
"2022/11/23","75460","-380","-0.50","76000","76000","75460","22732","1718941920"
"2022/11/22","75840","-60","-0.08","75950","76000","75690","20591","1561585100"
"2022/11/21","75900","80","0.11","75810","76000","75660","37912","2876152330"
"2022/11/18","75820","-50","-0.07","75870","75960","75700","21995","1667996010"
"2022/11/17","75870","420","0.56","75600","76070","75600","43271","3284699300"
"2022/11/16","75450","240","0.32","75310","75630","75280","33702","2544779520"
"2022/11/15","75210","-130","-0.17","75340","75500","75130","20587","1549940750"
"2022/11/14","75340","540","0.72","75020","75390","74410","46854","3505206440"
"2022/11/11","74800","-640","-0.85","76190","76190","74630","58553","4401357080"
"2022/11/10","75440","320","0.43","75120","75500","74870","26911","2022324420"
"2022/11/09","75120","560","0.75","75420","75750","74940","27168","2045423650"
"2022/11/08","74560","-910","-1.21","75260","75260","74440","85471","6385624420"
"2022/11/07","75470","330","0.44","76150","76150","75370","102728","7789847040"
"2022/11/04","75140","180","0.24","74860","75200","74820","30836","2312544100"
"2022/11/03","74960","-360","-0.48","75150","75190","74800","94908","7108619500"
"2022/11/02","75320","320","0.43","75060","75410","75060","24713","1859620240"
"2022/11/01","75000","-370","-0.49","75230","75260","74930","43547","3268889600"
"2022/10/31","75370","-500","-0.66","75690","75690","75150","34405","2589161500"
"2022/10/28","75870","-110","-0.14","75980","76190","75850","13174","1000487890"
"2022/10/27","75980","0","0.00","75990","76040","75920","16969","1289173450"
"2022/10/26","75980","-130","-0.17","76100","76100","75910","33477","2543832630"
"2022/10/25","76110","-460","-0.60","76610","76750","75890","27065","2065317920"
"2022/10/24","76570","1370","1.82","75750","76650","75750","67452","5159421020"
"2022/10/21","75200","-50","-0.07","75250","75300","75110","17245","1296722150"
"2022/10/20","75250","-390","-0.52","75500","75500","74910","49231","3699476360"
"2022/10/19","75640","-220","-0.29","75900","76020","75220","40592","3067291010"
"2022/10/18","75860","-490","-0.64","76350","76350","75820","44121","3352000150"
"2022/10/17","76350","-360","-0.47","76700","76700","76270","58536","4470158300"
"2022/10/14","76710","-50","-0.07","76750","76750","76470","94762","7257650670"
"2022/10/13","76760","140","0.18","76630","76970","76630","94482","7254763310"
"2022/10/12","76620","-360","-0.47","76960","76960","76490","126372","9693183570"
"2022/10/11","76980","-650","-0.84","76750","76980","76690","143187","11002837980"
"2022/10/07","77630","70","0.09","77600","77720","77140","79387","6156016390"
"2022/10/06","77560","-370","-0.47","77800","78000","77330","89455","6952248390"
"2022/10/05","77930","80","0.10","78200","78300","77930","130821","10227467860"
"2022/10/04","77850","1610","2.11","76990","77880","76990","153189","11910242270"
"2022/09/30","76240","650","0.86","76000","76240","75980","86466","6584682880"
"2022/09/29","75590","480","0.64","75500","76100","75500","114421","8686722320"
"2022/09/28","75110","210","0.28","74850","75150","74710","27623","2071859330"
"2022/09/27","74900","-350","-0.47","75190","75190","74790","55353","4143922870"
"2022/09/26","75250","-330","-0.44","75150","75270","74940","69572","5229076420"
"2022/09/23","75580","430","0.57","75200","75640","75200","35469","2679831810"
"2022/09/22","75150","240","0.32","74990","75320","74990","37768","2836787180"
"2022/09/21","74910","230","0.31","74680","74910","74440","34068","2541447060"
"2022/09/20","74680","120","0.16","75000","75020","74660","31301","2340803890"
"2022/09/19","74560","320","0.43","74800","74800","74490","87704","6541773300"
"2022/09/16","74240","-1290","-1.71","74930","74930","74230","99875","7454313520"
"2022/09/15","75530","-320","-0.42","75840","75840","75430","36577","2767772080"
"2022/09/14","75850","-130","-0.17","75600","76000","75600","22652","1720050130"
"2022/09/13","75980","-40","-0.05","76080","76130","75920","34998","2659842630"
"2022/09/08","76020","590","0.78","75890","76160","75880","85545","6501149760"
"2022/09/07","75430","-350","-0.46","75500","75570","75390","27089","2045122070"
"2022/09/06","75780","350","0.46","75430","75800","75250","61299","4633756080"
"2022/09/05","75430","1180","1.59","74660","75550","74660","76900","5786991990"
"2022/09/02","74250","-50","-0.07","74130","74480","73990","55350","4107743220"
"2022/09/01","74300","-10","-0.01","73950","74390","73950","41203","3054760440"
"2022/08/31","74310","-760","-1.01","74600","74890","74270","40762","3039831800"
"2022/08/30","75070","310","0.41","75140","75340","75050","16840","1265409600"
"2022/08/29","74760","-390","-0.52","74980","74980","74560","28304","2115353310"
"2022/08/26","75150","-220","-0.29","75370","75370","75000","16573","1245477920"
"2022/08/25","75370","200","0.27","75300","75410","75200","38457","2897591170"
"2022/08/24","75170","200","0.27","75060","75300","75050","47245","3551566820"
"2022/08/23","74970","50","0.07","74920","75000","74780","19174","1436548770"
"2022/08/22","74920","120","0.16","74810","75000","74810","36521","2737677010"
"2022/08/19","74800","-50","-0.07","74910","75040","74690","38906","2911040680"
"2022/08/18","74850","-50","-0.07","74880","74880","74620","14234","1063577570"
"2022/08/17","74900","-20","-0.03","74910","74940","74640","37582","2812007160"
"2022/08/16","74920","-60","-0.08","75070","75070","74820","47290","3544820980"
"2022/08/12","74980","330","0.44","75100","75130","74830","42158","3160410500"
"2022/08/11","74650","-560","-0.74","75100","75100","74600","19082","1425959220"
