회사명,거래소코드,회계년도,감사의견코드
주식회사이든센트럴한남,106815,2021/12,NA
주식회사이든센트럴한남,106815,2022/12,UQ
주식회사이든티앤에스,078115,2015/12,NA
주식회사이든티앤에스,078115,2016/12,QS
주식회사이든티앤에스,078115,2017/12,UQ
주식회사이든티앤에스,078115,2018/12,UQ
주식회사이든티앤에스,078115,2019/12,UQ
주식회사이든티앤에스,078115,2020/12,UQ
주식회사이든티앤에스,078115,2021/12,UQ
주식회사이든티앤에스,078115,2022/12,UQ
주식회사이든파마,081547,2016/12,NA
주식회사이든파마,081547,2017/12,UQ
주식회사이든파마,081547,2018/12,UQ
주식회사이든파마,081547,2019/12,UQ
주식회사이든파마,081547,2020/12,UQ
주식회사이든파마,081547,2021/12,UQ
주식회사이든파마,081547,2022/12,UQ
주식회사이디엠에스,103307,2021/12,NA
주식회사이디엠에스,103307,2022/12,QS
주식회사이또,088474,2017/12,NA
주식회사이또,088474,2018/12,DU
주식회사이라소재,064243,2012/12,QS
주식회사이래,077768,2015/12,NA
주식회사이래,077768,2016/12,QS
주식회사이래,077768,2017/12,UQ
주식회사이래,077768,2018/12,UQ
주식회사이래,077768,2019/12,UQ
주식회사이래,077768,2020/12,UQ
주식회사이래,077768,2021/12,UQ
주식회사이래,077768,2022/12,UQ
주식회사이래에이치티,102553,2021/12,NA
주식회사이래에이치티,102553,2022/12,UQ
주식회사이레개발,069607,2013/12,NA
주식회사이레개발,069607,2014/12,UQ
주식회사이레개발,069607,2015/12,UQ
주식회사이레머티리얼스,067877,2012/12,NA
주식회사이레머티리얼스,067877,2013/12,QS
주식회사이레머티리얼스,067877,2014/12,UQ
주식회사이레머티리얼스,067877,2015/12,UQ
주식회사이레머티리얼스,067877,2016/12,UQ
주식회사이레머티리얼스,067877,2017/12,NA
주식회사이레머티리얼스,067877,2018/12,UQ
주식회사이레머티리얼스,067877,2019/12,UQ
주식회사이레머티리얼스,067877,2020/12,UQ
주식회사이레머티리얼스,067877,2021/12,UQ
주식회사이레머티리얼스,067877,2022/12,UQ
주식회사이레산업,089363,2018/12,NA
주식회사이레산업,089363,2019/12,UQ
주식회사이레산업개발,080874,2016/12,NA
주식회사이레산업개발,080874,2017/12,UQ
주식회사이레산업개발,080874,2018/12,UQ
주식회사이레인물류,095468,2019/12,NA
주식회사이레인물류,095468,2020/12,UQ
주식회사이레인물류,095468,2021/12,UQ
주식회사이레인물류,095468,2022/12,UQ
주식회사이레종합개발,102136,2021/12,NA
주식회사이레종합개발,102136,2022/12,UQ
주식회사이렌트카,072692,2014/12,NA
주식회사이렌트카,072692,2015/12,DS
주식회사이렌트카,072692,2016/12,DS
주식회사이렌트카,072692,2017/12,QG
주식회사이렌트카,072692,2018/12,UQ
주식회사이렌트카,072692,2019/12,UQ
주식회사이렌트카,072692,2020/12,UQ
주식회사이로재,082922,2016/12,NA
주식회사이로재,082922,2017/12,UQ
주식회사이로재,082922,2018/12,UQ
주식회사이로재,082922,2019/12,UQ
주식회사이로재,082922,2020/12,UQ
주식회사이로재,082922,2021/12,UQ
주식회사이로재,082922,2022/12,UQ
주식회사이루다,073686,2014/12,NA
주식회사이루다,073686,2015/12,UQ
주식회사이루다,073686,2016/12,UQ
주식회사이루다,077019,2016/12,UQ
주식회사이루다,077019,2017/12,UQ
주식회사이루다,073686,2017/12,UQ
주식회사이루다,073686,2018/12,UQ
주식회사이루다,077019,2018/12,UQ
주식회사이루다,073686,2019/12,UQ
주식회사이루다,077019,2019/12,UQ
주식회사이루다,073686,2020/12,UQ
주식회사이루에프씨,106051,2021/12,NA
주식회사이루에프씨,106051,2022/12,QS
주식회사이룸김앤장,096904,2019/12,NA
주식회사이룸김앤장,096904,2020/12,UQ
주식회사이룸김앤장,096904,2021/12,UQ
주식회사이룸김앤장,096904,2022/12,UQ
주식회사이룸디앤씨,081929,2016/12,NA
주식회사이룸디앤씨,081929,2017/12,UQ
주식회사이룸디앤씨,081929,2018/12,UQ
주식회사이룸디앤씨,081929,2019/12,UQ
주식회사이룸컴퍼니,072687,2014/12,NA
주식회사이룸컴퍼니,072687,2015/12,UQ
주식회사이룸컴퍼니,072687,2016/12,UQ
주식회사이룸컴퍼니,072687,2017/12,UQ
주식회사이룸컴퍼니,072687,2018/12,UQ
주식회사이룸컴퍼니,072687,2019/12,UQ
주식회사이룸컴퍼니,072687,2020/12,UQ
주식회사이룸컴퍼니,072687,2021/12,UQ
주식회사이룸컴퍼니,072687,2022/12,UQ
주식회사이룸쿡,071043,2013/12,NA
주식회사이룸쿡,071043,2014/12,QS
주식회사이룸쿡,071043,2015/12,UQ
주식회사이룸쿡,071043,2021/12,NA
주식회사이룸쿡,071043,2022/12,UQ
주식회사이룸파트너스,096469,2019/12,NA
주식회사이룸파트너스,096469,2020/12,UQ
주식회사이룸파트너스,096469,2021/12,UQ
주식회사이룸파트너스,096469,2022/12,UQ
주식회사이룸프라퍼티,105034,2021/12,NA
주식회사이룸프라퍼티,105034,2022/12,UQ
주식회사이룸하우징,096316,2019/12,NA
주식회사이룸하우징,096316,2020/12,QS
주식회사이룸하우징,096316,2021/12,UQ
주식회사이룸하우징,096316,2022/12,UQ
주식회사이리오너라,073730,2014/12,NA
주식회사이리오너라,073730,2015/12,UQ
주식회사이리오너라,073730,2016/12,UQ
주식회사이리오너라,073730,2017/12,UQ
주식회사이리오너라,073730,2018/12,UQ
주식회사이린,078657,2015/12,NA
주식회사이린,078657,2016/12,UQ
주식회사이린,078657,2017/12,UQ
주식회사이린,078657,2018/12,NA
주식회사이린,078657,2019/12,UQ
주식회사이린,078657,2020/12,UQ
주식회사이매진,011244,2012/12,UQ
주식회사이매진,011244,2013/12,UQ
주식회사이매진,011244,2014/12,UQ
주식회사이매진,011244,2015/12,UQ
주식회사이매진,011244,2016/12,UQ
주식회사이매진,011244,2017/12,UQ
주식회사이매진,011244,2018/12,UQ
주식회사이매진,011244,2019/12,UQ
주식회사이매진,011244,2020/12,UQ
주식회사이매진,011244,2021/12,UQ
주식회사이매진,011244,2022/12,UQ
주식회사이매진스,064272,2012/12,UQ
주식회사이매진스,064272,2013/12,UQ
주식회사이매진스,064272,2014/12,UQ
주식회사이맥스아이엔시,066849,2012/12,NA
주식회사이맥스아이엔시,066849,2013/12,UQ
주식회사이맥스아이엔시,066849,2014/12,UQ
주식회사이맥스아이엔시,066849,2015/12,UQ
주식회사이맥스아이엔시,066849,2016/12,UQ
주식회사이맥스아이엔시,066849,2017/12,UQ
주식회사이맥스아이엔시,066849,2018/12,DS
주식회사이맥스아이엔시,066849,2019/12,DU
주식회사이명진,098136,2020/12,NA
주식회사이명진,098136,2021/12,UQ
주식회사이모션세라믹,091525,2018/12,NA
주식회사이모션세라믹,091525,2019/12,QS
주식회사이모션세라믹,091525,2020/12,UQ
주식회사이모션세라믹,091525,2021/12,UQ
주식회사이모션세라믹,091525,2022/12,UQ
주식회사이미인랩스,078141,2015/12,NA
주식회사이미인랩스,078141,2016/12,UQ
주식회사이미지스톤,071052,2013/12,NA
주식회사이미지스톤,071052,2014/12,UQ
주식회사이미지스톤,071052,2015/12,UQ
주식회사이미지스톤,071052,2016/12,UQ
주식회사이베데스다제이호위탁관리부동산투자회사,094886,2019/12,NA
주식회사이베데스다제이호위탁관리부동산투자회사,094886,2020/12,UQ
주식회사이베데스다제이호위탁관리부동산투자회사,094886,2021/12,UQ
주식회사이베데스다제이호위탁관리부동산투자회사,094886,2022/12,UQ
주식회사이베데스다제일호위탁관리부동산투자회사,089458,2018/12,NA
주식회사이베데스다제일호위탁관리부동산투자회사,089458,2019/12,UQ
주식회사이베데스다제일호위탁관리부동산투자회사,089458,2020/12,UQ
주식회사이베데스다제일호위탁관리부동산투자회사,089458,2021/12,UQ
주식회사이베데스다제일호위탁관리부동산투자회사,089458,2022/12,UQ
주식회사이브이앤에이,050154,2012/12,UQ
주식회사이브이앤에이,050154,2013/12,UQ
주식회사이비,021205,2012/12,UQ
주식회사이비,021205,2013/12,UQ
주식회사이비,021205,2014/12,UQ
주식회사이비,021205,2015/12,DU
주식회사이비가푸드,072988,2014/12,NA
주식회사이비가푸드,072988,2015/12,UQ
주식회사이비가푸드,072988,2016/12,UQ
주식회사이비가푸드,072988,2017/12,UQ
주식회사이비씨마린,067977,2012/12,NA
주식회사이비씨마린,067977,2013/12,UQ
주식회사이비씨마린,067977,2014/12,DU
주식회사이비씨코리아,078180,2015/12,NA
주식회사이비씨코리아,078180,2016/12,QS
주식회사이비씨코리아,078180,2017/12,UQ
주식회사이비씨코리아,078180,2018/12,NA
주식회사이비씨코리아,078180,2019/12,UQ
주식회사이비씨코리아,078180,2020/12,UQ
주식회사이비씨코리아,078180,2021/12,UQ
주식회사이비씨코리아,078180,2022/12,UQ
주식회사이비아이,081001,2016/12,NA
주식회사이비아이,081001,2017/12,QS
주식회사이비아이,081001,2018/12,UQ
주식회사이비아이,081001,2019/12,UQ
주식회사이삭,087258,2017/12,NA
주식회사이삭,087258,2018/12,UQ
주식회사이삭,101280,2020/12,NA
주식회사이삭,101280,2021/12,UQ
주식회사이삭농산,104390,2021/12,NA
주식회사이삭농산,104390,2022/12,UQ
주식회사이삭디벨로퍼개발,099153,2020/12,NA
주식회사이삭디벨로퍼개발,099153,2021/12,QS
주식회사이삭디벨로퍼개발,099153,2022/12,UQ
주식회사이산컴퍼니,092493,2018/12,NA
주식회사이산컴퍼니,092493,2019/12,QS
주식회사이산컴퍼니,092493,2020/12,UQ
주식회사이산컴퍼니,092493,2021/12,UQ
주식회사이산컴퍼니,092493,2022/12,UQ
주식회사이새에프앤씨,082140,2016/12,NA
주식회사이새에프앤씨,082140,2017/12,QS
