회사명,거래소코드,회계년도,감사의견코드
(유)대인계육유통,096685,2019/12,NA
(유)대인계육유통,096685,2020/12,QS
(유)대인계육유통,096685,2021/12,UQ
(유)대인계육유통,096685,2022/12,UQ
(유)대흥주택산업,099046,2020/12,NA
(유)대흥주택산업,099046,2021/12,UQ
(유)더밸류디프리마,106693,2021/12,NA
(유)더밸류디프리마,106693,2022/12,UQ
(유)더본건설,094511,2019/12,NA
(유)더본건설,094511,2020/12,UQ
(유)더본건설,094511,2021/12,UQ
(유)동명정공,093691,2019/12,NA
(유)동명정공,093691,2020/12,QS
(유)동명정공,093691,2021/12,UQ
(유)동명정공,093691,2022/12,UQ
(유)딘텍스코리아,078313,2015/12,NA
(유)딘텍스코리아,078313,2016/12,QS
(유)딘텍스코리아,078313,2019/12,NA
(유)딘텍스코리아,078313,2020/12,DS
(유)라온,093415,2019/12,NA
(유)라온,093415,2020/12,QS
(유)로젠택배광주지점,100026,2020/12,NA
(유)로젠택배광주지점,100026,2021/12,UQ
(유)로젠택배광주지점,100026,2022/12,UQ
(유)명지개발,093897,2019/12,NA
(유)명지개발,093897,2020/12,UQ
(유)명지개발,093897,2021/12,UQ
(유)명지개발,093897,2022/12,UQ
(주)대양정기,067744,2012/12,NA
(주)대양정기,067744,2013/12,QS
(주)대양정기,067744,2014/12,UQ
(주)대양정기,067744,2015/12,UQ
(주)대양정기,067744,2016/12,UQ
(주)대양정기,067744,2017/12,UQ
(주)대양정기,067744,2018/12,UQ
(주)대양정기,067744,2019/12,UQ
(주)대양정기,067744,2020/12,UQ
(주)대양정기,067744,2021/12,UQ
(주)대양정기,067744,2022/12,UQ
(주)대양중공업,057321,2012/12,UQ
(주)대양중공업,057321,2013/12,UQ
(주)대양충전소,066753,2012/12,NA
(주)대양충전소,066753,2013/12,UQ
(주)대양충전소,066753,2014/12,UQ
(주)대양캐스텍,089344,2018/12,NA
(주)대양캐스텍,089344,2019/12,UQ
(주)대양포리졸,088846,2018/12,NA
(주)대양포리졸,088846,2019/12,QS
(주)대양플러스,049362,2012/12,DU
(주)대양플러스,049362,2013/12,DU
(주)대양플러스,049362,2014/12,DU
(주)대양플러스,049362,2015/12,DU
(주)대양플러스,049362,2016/12,DU
(주)대양피앤티,066707,2012/12,NA
(주)대양피앤티,066707,2013/12,UQ
(주)대업스포츠,046208,2012/12,UQ
(주)대업스포츠,046208,2013/12,UQ
(주)대업스포츠,046208,2014/12,UQ
(주)대업스포츠,046208,2015/12,DU
(주)대업스포츠,046208,2016/12,DU
(주)대업스포츠,046208,2017/12,DS
(주)대업스포츠,046208,2018/12,DS
(주)대연,030644,2012/12,UQ
(주)대연,030644,2013/12,UQ
(주)대연,030644,2014/12,UQ
(주)대연,030644,2015/12,UQ
(주)대연,030644,2016/12,UQ
(주)대연,030644,2017/12,UQ
(주)대연,030644,2018/12,UQ
(주)대연,030644,2019/12,UQ
(주)대연,030644,2020/12,UQ
(주)대연,030644,2021/12,UQ
(주)대연,030644,2022/12,UQ
(주)대연금속,056309,2012/12,UQ
(주)대연금속,056309,2013/12,UQ
(주)대연인더스트리,080327,2016/12,NA
(주)대연인더스트리,080327,2017/12,UQ
(주)대연인더스트리,080327,2018/12,UQ
(주)대연인더스트리,080327,2019/12,UQ
(주)대연인더스트리,080327,2020/12,UQ
(주)대연인더스트리,080327,2021/12,UQ
(주)대연인더스트리,080327,2022/12,UQ
(주)대영공업,091678,2018/12,NA
(주)대영공업,091678,2019/12,QS
(주)대영공업,091678,2020/12,UQ
(주)대영공업,091678,2021/12,UQ
(주)대영공업,091678,2022/12,UQ
(주)대영금속,017654,2012/12,UQ
(주)대영금속,017654,2013/12,UQ
(주)대영금속,017654,2014/12,UQ
(주)대영금속,017654,2015/12,UQ
(주)대영금속,017654,2016/12,UQ
