회사명,거래소코드,회계년도,감사의견코드
(유)송정주류,093050,2019/12,NA
(유)송정주류,093050,2020/12,QS
(유)송정주류,093050,2021/12,UQ
(유)송정주류,093050,2022/12,UQ
(유)신합상사,096306,2019/12,NA
(유)신합상사,096306,2020/12,QS
(유)신합상사,096306,2021/12,UQ
(유)신합상사,096306,2022/12,UQ
(유)신흥개발,097040,2019/12,NA
(유)신흥개발,097040,2020/12,DS
(유)실릭스,094862,2019/12,NA
(유)실릭스,094862,2020/12,UQ
(유)실릭스,094862,2021/12,UQ
(유)실릭스,094862,2022/12,UQ
(유)에스아이지,058564,2012/12,UQ
(유)에스아이지,058564,2013/12,UQ
(유)에스아이지,058564,2014/12,UQ
(유)에스아이지,058564,2015/12,UQ
(유)에스아이지,058564,2019/12,NA
(유)에스아이지,058564,2020/12,UQ
(유)에스아이지,058564,2021/12,UQ
(유)에스아이지,058564,2022/12,UQ
(의)소망의료재단가나안요양병원,099033,2020/12,NA
(의)소망의료재단가나안요양병원,099033,2021/12,UQ
(의)소망의료재단가나안요양병원,099033,2022/12,UQ
(주)세건엔지니어링,066304,2012/12,NA
(주)세건엔지니어링,066304,2013/12,UQ
(주)세건엔지니어링,066304,2014/12,UQ
(주)세건엔지니어링,066304,2015/12,UQ
(주)세건엔지니어링,066304,2016/12,UQ
(주)세건엔지니어링,066304,2017/12,UQ
(주)세건엔지니어링,066304,2018/12,UQ
(주)세건엔지니어링,066304,2019/12,UQ
(주)세건엔지니어링,066304,2020/12,UQ
(주)세건엔지니어링,066304,2021/12,DU
(주)세건엔지니어링,066304,2022/12,DU
(주)세경글로텍,102716,2021/12,NA
(주)세경글로텍,102716,2022/12,QS
(주)세경오토,057780,2012/12,UQ
(주)세경오토,057780,2013/12,UQ
(주)세경오토,057780,2014/12,UQ
(주)세경오토,057780,2015/12,UQ
(주)세경오토,057780,2016/12,UQ
(주)세경오토,057780,2017/12,UQ
(주)세경오토,057780,2018/12,UQ
(주)세경오토,057780,2019/12,QG
(주)세경오토,057780,2020/12,DU
(주)세경오토,057780,2021/12,QU
(주)세경오토,057780,2022/12,QU
(주)세경토건,095778,2019/12,NA
(주)세경토건,095778,2020/12,QS
(주)세경토건,095778,2021/12,UQ
(주)세경토건,095778,2022/12,UQ
(주)세계로더블유스토어,085749,2017/12,NA
(주)세계로더블유스토어,085749,2018/12,QS
(주)세계로더블유스토어,085749,2019/12,UQ
(주)세계로더블유스토어,085749,2020/12,UQ
(주)세계로더블유스토어,085749,2021/12,UQ
(주)세계로더블유스토어,085749,2022/12,UQ
(주)세계보안관리시스템,094278,2019/12,NA
(주)세계보안관리시스템,094278,2020/12,UQ
(주)세계산업,080907,2016/12,NA
(주)세계산업,080907,2017/12,QS
(주)세계산업,080907,2018/12,UQ
(주)세계산업,080907,2019/12,UQ
(주)세계산업,080907,2020/12,UQ
(주)세계산업,080907,2021/12,UQ
(주)세계산업,080907,2022/12,UQ
(주)세계에프엘,067511,2012/12,NA
(주)세계에프엘,067511,2013/12,QS
(주)세계에프엘,067511,2014/12,UQ
(주)세계에프엘,067511,2015/12,UQ
