회사명,거래소코드,회계년도,감사의견코드
(유)주영산업개발,093799,2019/12,NA
(유)주영산업개발,093799,2020/12,UQ
(유)주영산업개발,093799,2021/12,UQ
(유)주영산업개발,093799,2022/12,UQ
(유)중산MOTORS,105441,2021/12,NA
(유)중산MOTORS,105441,2022/12,UQ
(유)짐머바이오메트코리아,018711,2012/12,UQ
(유)짐머바이오메트코리아,018711,2013/12,UQ
(유)짐머바이오메트코리아,018711,2014/12,UQ
(유)짐머바이오메트코리아,018711,2015/12,UQ
(유)짐머바이오메트코리아,018711,2016/12,UQ
(유)짐머바이오메트코리아,018711,2017/12,UQ
(유)짐머바이오메트코리아,018711,2019/12,NA
(유)짐머바이오메트코리아,018711,2020/12,UQ
(유)짐머바이오메트코리아,018711,2021/12,UQ
(유)짐머바이오메트코리아,018711,2022/12,UQ
(유)청강건설,096132,2019/12,NA
(유)청강건설,096132,2020/12,QS
(유)청강건설,096132,2021/12,UQ
(유)충무타올,096085,2019/12,NA
(유)충무타올,096085,2020/12,QS
(유)충무타올,096085,2021/12,UQ
(유)충무타올,096085,2022/12,UQ
(유)케이에스메디컬,102010,2021/12,NA
(유)케이에스메디컬,102010,2022/12,UQ
(유)케이케이홀딩스,096189,2019/12,NA
(유)케이케이홀딩스,096189,2020/12,UQ
(유)케이케이홀딩스,096189,2021/12,UQ
(유)케이케이홀딩스,096189,2022/12,UQ
(주)주안,084937,2017/12,NA
(주)주안,084937,2018/12,QS
(주)주안디앤씨,064779,2012/12,UQ
(주)주안디앤씨,078662,2015/12,NA
(주)주안디앤씨,078662,2016/12,QS
(주)주안디앤씨,078662,2019/12,UQ
(주)주안디앤씨,078662,2020/12,NA
(주)주안디앤씨,078662,2021/12,UQ
(주)주연전자,098956,2020/12,NA
(주)주연전자,098956,2021/12,UQ
(주)주영,085463,2017/12,NA
(주)주영,085463,2018/12,QS
(주)주영,085463,2019/12,UQ
(주)주영,085463,2020/12,UQ
(주)주영,085463,2021/12,UQ
(주)주영,085463,2022/12,UQ
(주)주영디벨로퍼,105971,2021/12,NA
