회사명,거래소코드,회계년도,산업코드,산업명,설립일,상장일,기업규모코드,감사의견코드
주식회사기량,104623,2021/12,126801,  부동산업,2020/06/24,0,20,NA
주식회사기량,104623,2022/12,126801,  부동산업,2020/06/24,0,20,UQ
주식회사기로,093269,2019/12,137105,  전문 서비스업,2019/04/16,0,20,NA
주식회사기로,093269,2020/12,137105,  전문 서비스업,2019/04/16,0,20,UQ
주식회사기로,093269,2021/12,137105,  전문 서비스업,2019/04/16,0,20,UQ
주식회사기로,093269,2022/12,137105,  전문 서비스업,2019/04/16,0,20,UQ
주식회사기룡테크,086401,2017/12,032902,  기타 기계 및 장비 제조업,2016/05/02,0,20,NA
주식회사기룡테크,086401,2018/12,032902,  기타 기계 및 장비 제조업,2016/05/02,0,20,QS
주식회사기룡테크,086401,2019/12,032902,  기타 기계 및 장비 제조업,2016/05/02,0,20,UQ
주식회사기린건축,017551,2012/12,074606,  도매 및 상품 중개업,1979/06/08,0000/00/00,20,UQ
주식회사기린건축,017551,2017/12,074606,  도매 및 상품 중개업,1979/06/08,0000/00/00,20,QS
주식회사기린건축,017551,2018/12,074606,  도매 및 상품 중개업,1979/06/08,0000/00/00,20,UQ
주식회사기린건축,017551,2019/12,074606,  도매 및 상품 중개업,1979/06/08,0000/00/00,20,UQ
주식회사기린건축,017551,2020/12,074606,  도매 및 상품 중개업,1979/06/08,0000/00/00,20,UQ
주식회사기린건축,017551,2021/12,074606,  도매 및 상품 중개업,1979/06/08,0000/00/00,20,UQ
주식회사기린건축,017551,2022/12,074606,  도매 및 상품 중개업,1979/06/08,0000/00/00,20,UQ
주식회사기린렌텍,066940,2012/12,147603,  임대업; 부동산 제외,1998/01/09,0,20,NA
주식회사기린렌텍,066940,2013/12,147603,  임대업; 부동산 제외,1998/01/09,0,20,UQ
주식회사기린렌텍,066940,2014/12,147603,  임대업; 부동산 제외,1998/01/09,0,20,UQ
주식회사기린렌텍,066940,2015/12,147603,  임대업; 부동산 제외,1998/01/09,0,20,UQ
주식회사기린렌텍,066940,2016/12,147603,  임대업; 부동산 제외,1998/01/09,0,20,UQ
주식회사기린렌텍,066940,2017/12,147603,  임대업; 부동산 제외,1998/01/09,0,20,UQ
주식회사기린렌텍,066940,2018/12,147603,  임대업; 부동산 제외,1998/01/09,0,20,UQ
주식회사기린인베스트,059307,2012/12,126801,  부동산업,1989/02/27,0,20,UQ
주식회사기린인베스트,059307,2013/12,126801,  부동산업,1989/02/27,0,20,UQ
주식회사기린인베스트,059307,2014/12,126801,  부동산업,1989/02/27,0,20,UQ
주식회사기묘개발,092657,2018/12,064204,  전문직별 공사업,2010/02/24,0,20,NA
주식회사기묘개발,092657,2019/12,064204,  전문직별 공사업,2010/02/24,0,20,UQ
주식회사기묘개발,092657,2020/12,064204,  전문직별 공사업,2010/02/24,0,20,UQ
주식회사기미전자,069852,2013/12,032805,  전기장비 제조업,1995/11/06,0,20,NA
주식회사기미전자,069852,2014/12,032805,  전기장비 제조업,1995/11/06,0,20,QS
주식회사기미전자,069852,2015/12,032805,  전기장비 제조업,1995/11/06,0,20,UQ
주식회사기미전자,069852,2016/12,032805,  전기장비 제조업,1995/11/06,0,20,UQ
주식회사기미전자,069852,2017/12,032805,  전기장비 제조업,1995/11/06,0,20,UQ
주식회사기미전자,069852,2018/12,032805,  전기장비 제조업,1995/11/06,0,20,UQ
주식회사기미전자,069852,2019/12,032805,  전기장비 제조업,1995/11/06,0,20,UQ
주식회사기미전자,069852,2020/12,032805,  전기장비 제조업,1995/11/06,0,20,UQ
주식회사기미전자,069852,2021/12,032805,  전기장비 제조업,1995/11/06,0,20,UQ
주식회사기미전자,069852,2022/12,032805,  전기장비 제조업,1995/11/06,0,20,UQ
주식회사기반테크,084705,2018/12,137309,"  기타 전문, 과학 및 기술 서비스업",2014/01/15,0,20,UQ
주식회사기산과학,059474,2012/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,QS
주식회사기산과학,059474,2013/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산과학,059474,2014/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산과학,059474,2015/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산과학,059474,2016/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산과학,059474,2017/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산과학,059474,2018/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산과학,059474,2019/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산과학,059474,2020/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산과학,059474,2021/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산과학,059474,2022/12,074605,  도매 및 상품 중개업,1994/11/01,0,20,UQ
주식회사기산정공,094910,2019/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,2005/03/01,0,20,NA
주식회사기산정공,094910,2020/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,2005/03/01,0,20,QS
주식회사기산화학,091727,2018/12,032004,  화학물질 및 화학제품 제조업; 의약품 제외,2015/08/03,0,20,NA
주식회사기산화학,091727,2019/12,032004,  화학물질 및 화학제품 제조업; 의약품 제외,2015/08/03,0,20,QS
주식회사기성,044024,2012/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,UQ
주식회사기성,044024,2013/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,UQ
주식회사기성,044024,2014/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,UQ
주식회사기성,044024,2015/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,UQ
주식회사기성,044024,2016/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,UQ
주식회사기성,044024,2017/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,UQ
주식회사기성,044024,2018/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,UQ
주식회사기성,044024,2019/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,UQ
주식회사기성,044024,2021/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,NA
주식회사기성,044024,2022/12,032509,  금속가공제품 제조업; 기계 및 가구 제외,1996/02/24,0000/00/00,20,UQ
주식회사기승산업,061279,2012/12,033309,  기타 제품 제조업,2007/01/01,0,20,UQ
주식회사기승산업,061279,2013/12,033309,  기타 제품 제조업,2007/01/01,0,20,UQ
주식회사기승산업,061279,2014/12,033309,  기타 제품 제조업,2007/01/01,0,20,UQ
주식회사기승산업,061279,2015/12,033309,  기타 제품 제조업,2007/01/01,0,20,UQ
주식회사기승산업,061279,2016/12,033309,  기타 제품 제조업,2007/01/01,0,20,UQ
주식회사기승산업,061279,2017/12,033309,  기타 제품 제조업,2007/01/01,0,20,UQ
주식회사기승산업,061279,2018/12,033309,  기타 제품 제조업,2007/01/01,0,20,UQ
주식회사기승산업,061279,2019/12,033309,  기타 제품 제조업,2007/01/01,0,20,UQ
주식회사기승산업,061279,2020/12,033309,  기타 제품 제조업,2007/01/01,0,20,UQ
