회사명,거래소코드,회계년도,감사의견코드
(유)판토스홀딩스,078315,2015/12,NA
(유)판토스홀딩스,078315,2016/12,UQ
(유)판토스홀딩스,078315,2019/12,NA
(유)판토스홀딩스,078315,2020/12,UQ
(유)판토스홀딩스,078315,2021/12,UQ
(유)판토스홀딩스,078315,2022/12,UQ
(유)포리코리아,038721,2020/12,NA
(유)포리코리아,038721,2021/12,UQ
(유)포리코리아,038721,2022/12,UQ
(유)프라이그파이스트,046117,2019/12,NA
(유)프라이그파이스트,046117,2020/12,QS
(유)프라이그파이스트,046117,2021/12,QS
(유)프라이그파이스트,046117,2022/12,QS
(유)하늘산업,101984,2021/12,NA
(유)하늘산업,101984,2022/12,UQ
(유)하이코스,093414,2019/12,NA
(유)하이코스,093414,2020/12,UQ
(유)하이코스,093414,2021/12,UQ
(유)한국타코닉,093116,2019/12,NA
(유)한국타코닉,093116,2020/12,UQ
(유)한국타코닉,093116,2021/12,UQ
(유)한국타코닉,093116,2022/12,UQ
(유)한성산기,095599,2019/12,NA
(유)한성산기,095599,2020/12,UQ
(유)한성산기,095599,2021/12,UQ
(유)한성산기,095599,2022/12,UQ
(유)한풍제약,096651,2019/12,NA
(유)한풍제약,096651,2020/12,QS
(유)한풍제약,096651,2021/12,UQ
(유)한풍제약,096651,2022/12,UQ
(유)해송,093737,2019/12,NA
(유)해송,093737,2020/12,UQ
(유)현디앤씨,097037,2019/12,NA
(유)현디앤씨,097037,2020/12,UQ
(유)호남고속,096438,2019/12,NA
(유)호남고속,096438,2020/12,QS
(유)호남고속,096438,2021/12,UQ
(유)호남고속,096438,2022/12,UQ
(유)휴먼하이테크,097315,2020/06,NA
(유)휴먼하이테크,097315,2021/06,QS
(유)휴먼하이테크,097315,2022/06,UQ
(주)티에이치케이컴퍼니,104170,2021/12,NA
(주)티에이치케이컴퍼니,104170,2022/12,UQ
(주)티에이케이,044141,2012/12,UQ
(주)티에이케이,044141,2013/12,UQ
(주)티에이케이,044141,2014/12,UQ
(주)티에이케이,044141,2015/12,UQ
(주)티에이케이,044141,2016/12,NA
(주)티에이케이,044141,2017/12,UQ
(주)티에이테크인터내셔널,102737,2021/12,NA
(주)티에이테크인터내셔널,102737,2022/12,UQ
(주)티에프디엔씨,104775,2021/12,NA
(주)티에프디엔씨,104775,2022/12,UQ
(주)티에프에스,068837,2013/12,NA
(주)티에프에스,068837,2014/12,QS
(주)티에프에스,068837,2015/12,UQ
(주)티에프에스,068837,2016/12,UQ
(주)티에프에스,068837,2017/12,UQ
(주)티에프에스,068837,2018/12,UQ
(주)티에프에스,068837,2019/12,UQ
(주)티에프에스,068837,2020/12,UQ
(주)티에프에스,068837,2021/12,UQ
(주)티에프에스,068837,2022/12,UQ
(주)티엔디,058467,2012/12,UQ
(주)티엔디,058467,2013/12,UQ
(주)티엔디,058467,2014/12,UQ
(주)티엔디,058467,2015/12,UQ
(주)티엔디,058467,2016/12,UQ
(주)티엔디,058467,2017/12,UQ
