회사명,거래소코드,회계년도,산업코드,산업명,설립일,상장일,기업규모코드,감사의견코드
(유)미르디앤씨,097915,2020/12,126801,  부동산업,2014/05/19,0,20,NA
(유)미르디앤씨,097915,2021/12,126801,  부동산업,2014/05/19,0,20,UQ
(유)보문특수칼라,094606,2019/12,031801,  인쇄 및 기록매체 복제업,2000/10/18,0,20,NA
(유)보문특수칼라,094606,2020/12,031801,  인쇄 및 기록매체 복제업,2000/10/18,0,20,UQ
(유)보문특수칼라,094606,2021/12,031801,  인쇄 및 기록매체 복제업,2000/10/18,0,20,UQ
(유)보문특수칼라,094606,2022/12,031801,  인쇄 및 기록매체 복제업,2000/10/18,0,20,UQ
(유)비티투자,054082,2012/12,126801,  부동산업,2007/08/20,0,20,UQ
(유)비티투자,054082,2013/12,126801,  부동산업,2007/08/20,0,20,UQ
(유)비티투자,054082,2014/12,126801,  부동산업,2007/08/20,0,20,UQ
(유)비티투자,054082,2015/12,126801,  부동산업,2007/08/20,0,20,UQ
(유)비티투자,054082,2019/12,126801,  부동산업,2007/08/20,0,20,UQ
(유)비티투자,054082,2021/12,126801,  부동산업,2007/08/20,0,20,NA
(유)비티투자,054082,2022/12,126801,  부동산업,2007/08/20,0,20,UQ
(유)삼각에프엠씨,097307,2020/06,032901,  기타 기계 및 장비 제조업,1975/07/01,0,20,NA
(유)삼각에프엠씨,097307,2021/06,032901,  기타 기계 및 장비 제조업,1975/07/01,0,20,QS
(유)삼각에프엠씨,097307,2022/06,032901,  기타 기계 및 장비 제조업,1975/07/01,0,20,UQ
(유)삼현개발,097520,2020/12,126801,  부동산업,2013/08/01,0,20,NA
(유)삼현개발,097520,2021/12,126801,  부동산업,2013/08/01,0,20,UQ
(유)새천안교통,089201,2018/12,084902,  육상운송 및 파이프라인 운송업,2017/07/17,0,20,NA
(유)새천안교통,089201,2019/12,084902,  육상운송 및 파이프라인 운송업,2017/07/17,0,20,UQ
(유)새천안교통,089201,2020/12,084902,  육상운송 및 파이프라인 운송업,2017/07/17,0,20,UQ
(유)새천안교통,089201,2021/12,084902,  육상운송 및 파이프라인 운송업,2017/07/17,0,20,UQ
(유)새천안교통,089201,2022/12,084902,  육상운송 및 파이프라인 운송업,2017/07/17,0,20,UQ
(유)성문,093944,2019/12,033101,  기타 운송장비 제조업,2009/02/25,0,20,NA
(유)성문,093944,2020/12,033101,  기타 운송장비 제조업,2009/02/25,0,20,UQ
(유)성문,093944,2021/12,033101,  기타 운송장비 제조업,2009/02/25,0,20,UQ
(유)성문,093944,2022/12,033101,  기타 운송장비 제조업,2009/02/25,0,20,UQ
(유)성우이앤씨,095499,2019/12,064206,  전문직별 공사업,2005/10/10,0,20,NA
(유)성우이앤씨,095499,2020/12,064206,  전문직별 공사업,2005/10/10,0,20,UQ
(유)성우이앤씨,095499,2021/12,064206,  전문직별 공사업,2005/10/10,0,20,UQ
(유)성우이앤씨,095499,2022/12,064206,  전문직별 공사업,2005/10/10,0,20,UQ
(유)성진실업,102431,2021/12,032309,  비금속 광물제품 제조업,1996/02/21,0,20,NA
(유)성진실업,102431,2022/12,032309,  비금속 광물제품 제조업,1996/02/21,0,20,UQ
(주)모음,077758,2015/12,031007,  식료품 제조업,2001/12/21,0,20,NA
