일자,언론사,제목,특성추출(가중치순 상위 50개),URL
20220101,한국일보,"KB손보 한성정ㆍ홍상혁 “케이타, 동생이지만 미안하고 고마워”","홍상혁,한성정,케이타,만큼,상혁이,2위,2세트,성공률,리시브,kb,수성,8패,11승,한성,한성정도,7패,한마디,감독님,정규시즌,김정호,대한항공,2승,코보컵,프로선수,결정전,성정이,성정이형,세트스코어,2라운드,4개,kb손해보험,9점,포스트시즌",https://hankookilbo.com/News/Read/A2022010100030001025
20220101,중도일보,"김 총리, 새해 첫 현장 행보 인천공항 화물터미널 방문","인천공항,대한항공,정책역량,수출액,우리나라,수출기업,1조,공급망,시장발굴,반도체,민생경제,김부겸,국무총리",http://www.joongdo.co.kr/web/view.php?key=20220101010000018
20220101,아주경제,"​'오미크론' 변이 확산에 추가 조정받은 항공주, 주가 실적 반등 언제쯤","항공사,코로나19,대한항공,영업이익,연구원,lcc,제주항공,진에어,금융투자업계,티웨이항공",https://www.ajunews.com/view/20220101111632779
20220101,아시아경제,"김 총리, 인천공항서 새해 첫 현장행보 ""무역 활력을 민생경제로""","인천공항,화물터미널,대한항공,정책역량,공급망,김부겸,국무총리,물류애,민생경제,반도체,한국,수출기업,관계자,1조,현장행보,6445억,현장일정,화물선,현장,수출,무역,총리,달러,새해,안정,세계,경제,미래,최대",https://www.asiae.co.kr/article/2022010116445761559
20220101,아시아경제,"조정 받는 항공株, 펀더멘털 개선은 시기상조","yield,대한항공,lcc,삼성증권,대형항공사,항공사,연구원,가능성,코로나19,항공사들,김영호",https://www.asiae.co.kr/article/2022010116065736773
20220101,서울경제,"'알짜 노선 반납하라"" 대한항공, 아시아나 인수 위기?[뒷북경제]","공정위,항공사,대한항공,운수권,인천,아시아나,조건부,경쟁당국,점유율,아시아나항공,항공여객,기업결합,뉴욕",http://www.sedaily.com/NewsView/260P3C0GYS
20220101,동아일보,김 총리 “무역 역군들의 노고 감사 새해에도 힘써달라”,"대한항공,인천공항,한국,6445억,사회관계,8위,민생경제,자원부,산업통상자원부,반도체,국무총리,사회관계망,수출액,김부겸,우리나라,겹경사,관계자,6150억,수입액,294억,화물터미널,관계자들,버팀목,sns,화물선,무역,새해,이날,달러",https://www.donga.com/news/article/all/20220101/111047323/2
20220101,YTN,"김 총리, 인천공항 화물터미널 방문...수출 현장 점검","인천공항,대한항공,국무총리,민생경제,첫날,김부겸,성장세,반도체,ytn,화물선,sns,현장,경제,최선,회복,방문,미래,세계,점검,총리,화물,안정,바탕,방역,새해,무역,개척,국민,참관,일상,민생,수출,터미널,교역,정부,연결",https://www.ytn.co.kr/_ln/0101_202201011256049699
20220101,헤럴드경제,"새해 첫날 수출 현장 찾은 김부겸 “무역 활력, 민생경제로 연결 최선”","김부겸,윤성욱,여한구,수출액,우리나라,코로나,대한항공,공급망,인천공항,오영식,첫날,민생경제,최고치",http://biz.heraldcorp.com/view.php?ud=20220101000047
20220101,조선일보,"남자배구 KB손보, OK금융그룹 3대0 완파","홈경기,외국인,2위,도로공사,8패,3대,남자부,대한항공,의정부체육관,기업은행,ok,11연승,kb손해보험,kb,홍상혁,ibk기업은행,여자부,36득점,9득점,6연패,12승,ok금융그룹,김천실내체육관,한국도로공사,5위,0대,10승,7패,2연승",https://www.chosun.com/sports/volleyball/2022/01/01/PGH7P32DKJHWZKE3XLQUTYBXVA/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
20220101,아시아경제,"한 달새 10%뛴 항공株, 오미크론에도 반등 신호","오미크론,대한항공,미국,항공주,코로나19,아시아나항공,강성진,에어부산,2만,티웨이항공,오름세,투심,기대감,여객기,에어라인,진에어,항공업,달새",https://www.asiae.co.kr/article/2021123111384933213
20220101,아시아경제,"대한항공, 2022년 새해 첫 수출 화물기 운항","대한항공,코로나19,화물기,우리나라,진단키트,항공기,여객기,김형우,태스크포스",https://www.asiae.co.kr/article/2022010111353807440
20220101,서울경제,"첫 수출 화물 실은 대한항공 항공편, 미국 멕시코로","대한항공,화물기,미국,75t,여객기,인천공항,반도체,코로나바이러스,김형우,보잉,각국,물류난,코로나19,자동차,멕시코,감염증,댈러스,멕시코로,비행기,과달라하라,태평양,항공편,관계자,777f",http://www.sedaily.com/NewsView/260P268L7Z
20220101,머니투데이,반도체 車부품 스마트폰..새해 첫 수출 화물기 띄운 대한항공,"화물기,코로나19,대한항공,진단키트,여객기,공급망,대항항공,김형우,반도체,태스크포스,보잉,태평양,미국,항공기,댈러스,각국,멕시코,인천국제공항,과달라하라",http://news.moneytoday.co.kr/view/mtview.php?no=2022010109503211096&type=2
20220101,국민일보,역대급 혼전 ‘꿀잼’인데 男배구 좀체 안 오르는 인기 ‘한숨’,"남자부,상반기,여자부,3대,시청률,우리카드,남자배구,대한항공,승점차,7위,경기장,온라인,연고지,65경기,한국배구연맹,꿀잼",http://news.kmib.co.kr/article/view.asp?arcid=0016625274&code=61161111&cp=kd
20220101,YTN,2022년 희망찬 출발...새로운 시작의 순간들,"코로나,울음소리,첫아기,김두용,부장원,도매상,상인들,소상공인들,시민들,각국,소상공인,청량리,서울,대한항공,kg,꾸물이,수원시,고건,청과물,김형우,태명,시곗바늘,순간들,간호사,임인년,장우진,해돋,화물기,수출길,ytn",https://www.ytn.co.kr/_ln/0103_202201010733481399
20220101,YTN,2022년 희망찬 출발...새로운 시작의 순간들,"코로나,울음소리,첫아기,화물기,김두용,부장원,도매상,상인들,소상공인들,각국,소상공인,시민들,청량리,서울,대한항공,kg,꾸물이,청과물,태명,김형우,시곗바늘,순간들,간호사,임인년,장우진,댈러스,수출길,mbn,ytn",https://www.ytn.co.kr/_ln/0103_202201010504326330
20220101,조선일보,[내일의 경기] 2022년 1월 2일,"spotv,우리카드,군산월명체,한국가스공사,울산동천체,창원체,오리온,흥국생명,하나원큐,현대모비스,대한항공,칼텍스,gs,gs칼텍스,kb,lg,남자,여자,프로,배구,농구",https://www.chosun.com/sports/sports_general/2022/01/01/CS43UBAQBREDDORJ2DJCRENASA/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
20220102,중부일보,"대한항공, 2022년 새해 첫 수출 화물기 운항","대한항공,화물기,코로나19,우리나라,진단키트,여객기,항공기,보잉,태스크포스,김형우,75t",www.joongboo.com/news/articleView.html?idxno=363519772
20220102,YTN,"우리카드 ""1위 대한항공도 잡았다""...파죽의 6연승","우리카드,대한항공,6연승,김재휘,송희채,상승세,4위,김상익,외국인,정지석,한국전력,듀스,칼텍스,5연,2세트,16점,흥국생명,25대,23득점,전문가,최하위,나경복,여자부,3연승,눈앞",https://www.ytn.co.kr/_ln/0107_202201021910126083
20220102,중부일보,"프로배구 대한항공, 우리카드에 완패...선두자리 위협","대한항공,우리카드,인천,의정부,김재휘,송희채,알렉스,칼텍스,12승,흥국생명,여자부,남자부,서울,인삼공사,외국인,페헤,도드람,수원,중구,장충체육관,gs,5위,주전들,7승",www.joongboo.com/news/articleView.html?idxno=363519793
20220102,YTN,"우리카드 ""1위 대한항공도 잡았다""...파죽의 6연승","우리카드,대한항공,6연승,김재휘,송희채,상승세,4위,김상익,외국인,정지석,한국전력,듀스,칼텍스,5연,2세트,16점,흥국생명,25대,23득점,전문가,최하위,나경복,여자부,3연승,눈앞",https://www.ytn.co.kr/_ln/0107_202201022325337177
20220102,경향신문,"공중전 압도 우리카드, 선두 대한항공 날개 꺾고 6연승","우리카드,알렉스,대한항공,송희채,대한한공,김재휘,나경복,6연승,리시브,홈경기,최하위,곽승석,장충체육관,27점,한국전력,링컨,상승세,신영철",https://www.khan.co.kr/sports/basketball-volleyball/article/202201022154085
20220102,SBS,선두 대한항공까지 잡았다 우리카드 6연승,"우리카드,여자부,6연승,맹활약,듀스,알렉스,한국전력,대한항공,칼텍스,모마,영상편집,3연패,눈앞,나경복,흥국생명,마침표,상승세,우기정,gs,블로킹,도약,혼자,승점,행진,편집,영상,에이스,승리,수비,성공,서브,공격,추격,상황,선두,배구",https://news.sbs.co.kr/news/endPage.do?news_id=N1006590591&plink=ORI&cooper=ETC
20220102,KBS,우리카드의 반전카드 꼴찌에서 6연승 신바람,"우리카드,6연승,대한항공,최부경,sk,한국전력,신바람,85대,4위,kcc,주도권,정창영,나경복,골밑슛,3대,프로배구,반전카드,상승세,송희채,2연승,프로,득점,성공,꼴찌,시즌,매치,재치,경기,승리,승점,주도,집중,막판,엉덩이,농구,반전,예사",https://news.kbs.co.kr/news/view.do?ncd=5362773&amp;ref=DA
20220102,한국일보,"""우리카드가 달라졌어요""... 선두 대한항공 집어삼키며  6연승 질주","우리카드,대한항공,알렉스,나경복,김재휘,6연승,11승,1세트,송희채,4번,리시브,서울,한국전력,홈경기,외국인,하위권,현대캐피탈전,주전들,도드람,우승후보,눈앞,5점",https://hankookilbo.com/News/Read/A2022010216330000535
20220102,한겨레,‘오미크론’ 때문에 올해도 대형항공사와 저비용항공사 양극화는 계속,"국제선,항공사,엘시시,대한항공,코로나19,에프앤가이드,1조,양극화,영업이익,저비용항공사,미래에셋증권,오미크론",http://www.hani.co.kr/arti/economy/marketing/1025660.html
20220102,경향신문,"대한항공 아시아나 통합, 공정위 조건대로라면 “경쟁력은  글쎄”","대한항공,항공사,운수권,공정위,경쟁력,lcc,기업결합심사,항공권,일본,구조조정,영국,외항사,재배분,가능성,조건부,아시아나항공",https://www.khan.co.kr/economy/economy-general/article/202201021152001
20220102,머니투데이,"정부, 지난해 무역 역대 최대 실적 1조달러 넘겼다","인천공항,우리나라,1조,대한항공,관계자,공급망,코로나19,신선,김부겸,첫날,수출액,최일선,정책역량,민생경제",http://news.moneytoday.co.kr/view/mtview.php?no=2022010208245149647&type=2
20220102,아시아경제,"대한항공 아시아나, 화물 운송 호실적 올해도 이어간다","대한항공,국제선,1조,항공화물,여객기,아시아나항공,영업이익,호실적,정상화,대신증권,홍콩,에프앤가이드,양지환,코로나,가능성",https://www.asiae.co.kr/article/2022010214565171965
20220102,중앙일보,5연패 뒤 6연승 우리카드가 '우리카드'다워졌다,"우리카드,대한항공,알렉스,6연승,나경복,남자부,2승,김재휘,5패,맏형,11승,한국전력,신영철,서울,8패,도드람,결정전,최하위,결정적,송희채",https://www.joongang.co.kr/article/25037510
20220102,충북일보,"극동대, 한국형 도심항공교통 상용화에 학계 대표로 참여","극동대,uam,도심항공교통,상용화,대학원,교육부,차세대,기자영,모빌리티학,코리아,한국,한화,국방부,중소벤처기업부,재정부,공항공사,한화시스템,기획재정부,학년도,류기일,기업부,학생들,국토부,글로벌대학원,현대자동차,로드맵,대한항공,카이스트",https://www.inews365.com/news/article.html?no=697035
20220103,한국일보,"한국항공대, 제9대 총장에 허희영 경영학부 교수 취임","경영학,허희영,한국항공대,대한항공,한국항공대학교,코로나,항공사,동영,한국항공경영학회,항공업,아시아,취임사,주년,학교법인,경쟁력,대학원장,경제이론,항공산업,학생처장,항공경영학,서울대,전문서,경영학부,경영대학원장,대학장,경영대학장",https://hankookilbo.com/News/Read/A2022010311240003911
