,회사명,종목코드,회계년도,거래월,종가,자산,부채,당기순이익,현금흐름,매출액,비유동자산,매출총이익,법인세비용,이자비용,감가상각비,유동자산,유동부채,현금및현금성자산,상장주식수,시가총액,pbr,per,pcr,psr,roe,roa,roic,gpa,매직
13,(주)강원랜드,35250,2016/12,12.0,35750.0,3978987574.0,726260115.0,454533659.0,596486851.0,1696532511.0,2169474115.0,911355420.0,142326882.0,0.0,12665162.0,1809513458.0,718893173.0,92998434.0,213940500.0,7648372875000.0,2351.3721857752485,16826.85698530414,12822.366263694888,4508.238318693794,0.13973923875557015,0.11423349546755836,0.25119109047754257,0.22904203721446453,7.803112330342374e-05
14,(주)강원랜드,35250,2017/12,12.0,34800.0,4185657487.0,684421554.0,437540507.0,463050000.0,1604470055.0,2021361436.0,816936206.0,128653718.0,0.0,13458113.0,2164296051.0,681337932.0,105573030.0,213940500.0,7445129400000.0,2126.4289360873527,17015.863173555266,16078.456754130224,4640.242039294401,0.12496744446041877,0.10453328022155005,0.202162965088735,0.19517512088298591,7.604303124719391e-05
15,(주)강원랜드,35250,2018/12,12.0,32000.0,4231241354.0,644464265.0,297236881.0,363918692.0,1438059299.0,2472208249.0,708465839.0,113451001.0,0.0,13540989.0,1759033105.0,636028473.0,48854127.0,213940500.0,6846096000000.0,1908.7040622055229,23032.458075079852,18812.15818394951,4760.64930337758,0.08287018502252956,0.07024815086924961,0.1689774229689668,0.16743687720159298,5.99834059112416e-05
16,(주)강원랜드,35250,2019/12,12.0,29600.0,4438119306.0,720360229.0,334653892.0,407868874.0,1520080449.0,2559928144.0,783421395.0,154271032.0,0.0,16091408.0,1878191161.0,651342607.0,60665205.0,213940500.0,6332638800000.0,1703.3483528228098,18922.949803912634,15526.163440459053,4165.989243639038,0.0900149485399266,0.07540443798966229,0.17817882373785762,0.17652103086568083,7.719909686621319e-05
17,(주)강원랜드,35250,2020/12,12.0,23500.0,3641632201.0,394603621.0,-275879104.0,-655676332.0,478578866.0,2143453910.0,-65920771.0,-128621634.0,0.0,17140286.0,1498178291.0,329969961.0,66052963.0,213940500.0,5027601750000.0,1548.3700331334933,-18223.93097956415,-7667.810327489448,10505.273231183595,-0.08496355889790166,-0.07575699268153523,-0.1841430393547199,-0.018101984868734964,-8.045074490134905e-05
18,(주)강원랜드,35250,2021/12,12.0,24050.0,3827273464.0,574480852.0,-10582086.0,210874269.0,788432830.0,2170239467.0,61649605.0,-3577132.0,0.0,17495969.0,1657033997.0,506759505.0,206399109.0,213940500.0,5145269025000.0,1581.8005138164647,-486224.45754079113,24399.700586513947,6525.944670518096,-0.0032532310731896116,-0.002764915049718015,-0.006386161068003725,0.016107969702161842,-2.751693853700901e-06
19,(주)강원랜드,35250,2022/12,12.0,23200.0,4167752671.0,752374770.0,115612768.0,420172246.0,1270685819.0,2961350384.0,348895092.0,52239058.0,0.0,16484150.0,1206402286.0,687658757.0,101060567.0,213940500.0,4963419600000.0,1453.2563434771723,42931.41394210023,11812.821163823372,3906.09505967895,0.03385065177301445,0.027739834180769696,0.09583268304928205,0.08371300303582722,3.381334169093941e-05
20,(주)녹십자,6280,2013/12,12.0,124500.0,1104264801.0,264856232.0,72027708.0,29689475.0,888168207.0,543313701.0,274893816.0,19002134.0,0.0,2338000.0,560951100.0,208983825.0,27647790.0,11686538.0,1454973981000.0,1733.3322945860943,20200.19824870729,49006.389671760786,1638.173906173158,0.08580768729321847,0.06522684408193864,0.12840282869576333,0.24893831239668393,6.255438568673001e-05
21,(주)녹십자,6280,2014/12,12.0,137000.0,1330351374.0,409724547.0,86789123.0,56763006.0,975327106.0,667470047.0,310499555.0,29861956.0,0.0,2620000.0,662881327.0,334370391.0,32001574.0,11686538.0,1601055706000.0,1739.0930386172638,18447.653930089833,28205.97108616834,1641.5576847507405,0.09427177272556278,0.06523774447576886,0.13092708975946157,0.23339665074078392,7.28416660284208e-05
22,(주)녹십자,6280,2015/12,12.0,183000.0,1415128446.0,417424433.0,95687082.0,45243778.0,1047812247.0,671666919.0,338996684.0,33200287.0,0.0,2906000.0,743461526.0,307735421.0,57736365.0,11686538.0,2138636454000.0,2143.558035382985,22350.315312154675,47269.18370963627,2041.049300695948,0.09590728387698687,0.0676172415800622,0.12870481998727554,0.2395518830521763,6.0256008164367505e-05
