회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
인천도시가스(주),034590,2019/12,28700,11.6,10.86,0.73,0.69,4.55,4.26,0.23,0.21,3.97,6.15,365827418,11254067,56862105,0,572906592,12367053
인천도시가스(주),034590,2020/12,25000,11.17,7.46,0.72,0.48,12.18,8.13,0.27,0.18,3.7,6.34,341399736,12000226,57514458,0,504439929,11242476
인천도시가스(주),034590,2021/12,27150,33.41,25.43,0.75,0.57,3.45,2.63,0.28,0.21,4.63,2.17,362058262,4189602,58194835,0,503807729,3638857
인천도시가스(주),034590,2022/12,27900,12.62,8.79,0.77,0.54,9.84,6.85,0.21,0.14,5.07,6.05,425143163,11942346,59844965,0,728356330,8460657
인터지스(주),129260,2017/12,3020,24.12,18.21,0.56,0.43,4.49,3.39,0.24,0.18,15.39,2.23,487244664,4736526,17390731,0,476310233,11594851
인터지스(주),129260,2018/12,2310,0,0,0.7,0.32,0,0,0.29,0.13,28.45,-6.92,447566655,-14833778,19160932,0,449093224,4804092
인터지스(주),129260,2019/12,2215,0,0,0.55,0.35,8.25,5.16,0.21,0.13,20.75,-21.66,376007881,-39981571,24222784,0,431257455,713769
인터지스(주),129260,2020/12,3300,95.94,21.01,0.68,0.15,6.75,1.48,0.27,0.06,17.07,0.71,342590723,1193796,17801609,0,418388179,1466558
인터지스(주),129260,2021/12,3485,13.57,7.42,0.89,0.49,54.63,29.87,0.3,0.16,9.65,6.63,349128425,11948264,18700047,0,543201654,12280344
인터지스(주),129260,2022/12,2800,4.79,2.82,0.55,0.32,8.59,5.05,0.18,0.11,4.41,12.22,385856608,25353259,21176973,0,667448084,26380166
일동제약(주),249420,2017/12,23400,29.01,17.26,3.2,1.91,7.78,4.63,1.22,0.73,12.76,6.81,563406684,19385372,201087816,33362489,460383222,24874882
일동제약(주),249420,2018/12,20450,52.75,31.54,3.58,2.14,9.77,5.84,1.27,0.76,9.75,4.32,562908656,12116166,227072791,46458131,503393913,27568805
일동제약(주),249420,2019/12,16750,0,0,2.94,1.76,13.3,7.97,1.04,0.62,17.78,-5.13,610339301,-13540726,233605509,48497439,516816628,-1900998
일동제약(주),249420,2020/12,18900,0,0,3.16,1.16,30.24,11.09,1.07,0.39,16.17,-5.19,602872642,-13105435,231934529,60180879,560963990,5598254
일동제약(주),249420,2021/12,33600,0,0,10.72,3.24,0,0,1.75,0.53,0,-48.78,689903318,-98891807,272778951,94494607,559145199,-54326852
일동제약(주),249420,2022/12,28550,0,0,14.28,4.32,0,0,3.35,1.01,0,-82.48,637159475,-141275921,306584284,107351183,635808532,-72146860
일동홀딩스(주),000230,2017/12,15150,394.31,201.67,1.5,0.77,69.65,35.62,17.54,8.97,40.79,0.47,206381726,643491,11634878,0,14468687,2833809
일동홀딩스(주),000230,2018/12,13150,53.81,38.21,1.04,0.74,35.1,24.92,10.36,7.36,24.7,1.91,208991057,3294440,12836419,0,17115063,4278644
일동홀딩스(주),000230,2019/12,11100,0,0,1.08,0.74,17.76,12.09,8.67,5.9,28.93,-8.42,233662172,-13883341,14495997,0,19288113,4792117
일동홀딩스(주),000230,2020/12,13850,9.5,3.94,1,0.42,0,0,10.2,4.24,52.94,11.03,249666601,18166772,14050935,0,16921957,2871022
일동홀딩스(주),000230,2021/12,14800,156.44,97.78,1.29,0.81,221.58,138.49,12.44,7.77,84.29,0.83,270112999,1445842,16868085,0,18184535,1316450
일동홀딩스(주),000230,2022/12,20150,78.51,14.52,3.72,0.69,0,0,32.97,6.1,58.47,4.8,297257259,8701794,16902121,0,20720171,3818050
일성건설(주),013360,2017/12,1030,0,0,1.18,0.06,0,0,0.23,0.01,9.19,-17.24,304302576,-15927705,18743814,0,418674416,13421382
일성건설(주),013360,2018/12,1410,56.28,16.5,2.01,0.59,8.52,2.5,0.49,0.14,9.54,3.64,308519234,3162814,19001096,0,363196875,9718030
일성건설(주),013360,2019/12,1270,66.37,22.56,1.69,0.58,0,0,0.4,0.14,10.29,2.49,350945459,2262893,18237965,0,375530497,7409572
일성건설(주),013360,2020/12,1140,23.93,9.09,0.88,0.33,2.51,0.95,0.23,0.09,7.69,3.56,298701764,3239594,19584984,0,340707105,10248883
일성건설(주),013360,2021/12,6270,76.64,10.82,4.02,0.57,35.07,4.95,1.03,0.15,25.4,5.6,378884167,5618276,32705105,603905,416034262,10844623
일성건설(주),013360,2022/12,2140,59.36,18.41,3.06,0.95,0,0,0.78,0.24,23.3,5.3,409776787,6061078,33517026,744603,462562008,3161189
일성신약(주),003120,2017/12,134000,154.32,120.42,1.26,0.98,39.93,31.16,6.05,4.72,56.19,0.82,347461710,2628653,23653717,303957,67043035,2590410
일성신약(주),003120,2018/12,95600,121.91,83.17,1.11,0.76,23.8,16.23,5.82,3.97,47.97,0.91,347264433,2945529,20335237,131815,61652595,2258355
일성신약(주),003120,2019/12,82100,39.51,32.03,0.77,0.63,60.49,49.03,5.48,4.45,99.16,2.01,369516179,6718550,19422479,93488,48411628,-1257117
일성신약(주),003120,2020/12,82700,97.06,59.89,0.9,0.56,200.7,123.84,7.7,4.75,165.81,0.93,371224516,3220257,15129912,109210,40600732,-1947785
일성신약(주),003120,2021/12,73800,0,0,0.72,0.55,43.51,32.88,5.9,4.46,114.1,-0.39,371382501,-1367510,17932492,99083,42089836,-1797411
일성신약(주),003120,2022/12,84400,3.64,1.74,0.93,0.44,0,0,6.25,2.99,-10.96,26.59,494420098,105241192,26637878,1512384,61247847,1297260
일신방직(주),003200,2017/12,110000,140.39,116.53,0.62,0.52,19.14,15.89,0.9,0.75,20.63,0.44,557176177,2162480,11173736,42057,336571836,3938570
일신방직(주),003200,2018/12,96000,26.87,19.44,0.63,0.45,0,0,0.9,0.65,14.32,2.32,572127497,11521402,11236707,29622,342198625,8637099
일신방직(주),003200,2019/12,71600,0,0,0.53,0.34,49.46,31.88,0.8,0.52,25.87,-1.22,554625588,-5996427,10924170,58387,320762127,-968520
일신방직(주),003200,2020/12,80100,0,0,0.47,0.21,6.92,3.07,0.75,0.33,23.4,-1.22,569541972,-5865569,11877971,40815,293767618,-312858
일신방직(주),003200,2021/12,107000,10,6.13,0.63,0.39,0,0,0.76,0.46,8.75,6.38,636041114,31331565,13687431,48681,414426568,27149512
일신방직(주),003200,2022/12,103000,2.93,1.97,0.53,0.36,35.43,23.81,0.81,0.55,0,19.43,758625897,107886173,14439122,63503,388541994,-15787975
일양약품(주),007570,2017/12,38550,260.76,184.22,6.06,4.28,41.96,29.64,4.88,3.45,47.85,1.76,397242127,3348692,58725546,9837903,178934174,7667160
