회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),연구개발비(IFRS연결),매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결)
세방전지(주),004490,2021/12,75900,23.99,11.07,1.76,0.81,0,0,1.65,0.76,8.65,7.38,1684408564,85232536,112475408,4789759,1352007672,99704952
세방전지(주),004490,2022/12,42350,24.33,9.98,0.98,0.4,18.48,7.58,0.92,0.38,5.55,3.58,1676981981,42678284,128045129,7438227,1473142778,81090385
세원이앤씨(주),091090,2017/12,3215,0,0,1.2,0.66,11.26,6.24,1.5,0.83,27.97,-4,353022768,-7735864,9429129,1315143,158138172,3781139
세원이앤씨(주),091090,2018/12,3600,0,0,2.69,1.05,170.32,66.2,3.55,1.38,0,-9.43,329475571,-16911977,18401330,1577424,133830066,-9723709
세원이앤씨(주),091090,2019/12,2880,0,0,1.58,0.77,0,0,1.5,0.73,43.88,-3.3,358714548,-5692133,17862485,2713340,181937239,1587907
세원이앤씨(주),091090,2020/12,2975,0,0,1.47,0.54,35.74,12.99,2.25,0.82,0,-15.32,324723875,-26561917,17284005,2817554,109854507,-5963075
세원이앤씨(주),091090,2021/12,1140,0,0,2.78,0.7,26.97,6.77,6.01,1.51,0,-1.44,292675905,-2443722,12756065,1849363,83149598,-9635329
세원이앤씨(주),091090,2022/12,560,0,0,1.64,0.62,0,0,2.17,0.82,32.35,-51.17,282702160,-86375471,14638731,680473,126627325,1818196
세종공업(주),033530,2017/12,7580,23.44,13.4,0.74,0.42,10.34,5.91,0.58,0.33,0,-1.92,900553568,-7572690,119365109,18447932,1035914243,-6678925
세종공업(주),033530,2018/12,7790,564.51,256.59,0.64,0.29,17.96,8.16,0.51,0.23,40.12,-5.2,871007601,-19354678,112635440,21077512,1099512616,208218
세종공업(주),033530,2019/12,4635,72.85,27.9,0.67,0.26,6.63,2.54,0.57,0.22,29.21,1.52,996027851,1918381,122367087,24252096,1221703004,13168374
세종공업(주),033530,2020/12,9230,0,0,0.8,0.15,13.91,2.61,0.82,0.15,94.58,-4.69,1158750683,-21850777,121239844,21586798,1182774448,-6166003
세종공업(주),033530,2021/12,8710,44.43,27.86,1.03,0.65,20.28,12.71,0.9,0.56,17.04,-2.16,1180100055,-10771841,129421111,16727770,1588107772,-4158268
세종공업(주),033530,2022/12,5480,38.56,17.44,0.71,0.32,29.93,13.54,0.62,0.28,12.37,0.43,1149427318,195989,109044217,2721624,1858856803,32074360
세하(주),027970,2017/12,1490,0,0,3.65,1.8,0,0,0.41,0.2,22.35,,,,,,,
세하(주),027970,2018/12,1380,10.5,5.84,2.1,1.17,5.81,3.23,0.32,0.18,8.8,,,,,,,
세하(주),027970,2019/12,2490,8.36,3.23,2.5,0.96,6.45,2.49,0.53,0.2,8.19,,,,,,,
세하(주),027970,2020/12,1800,5.88,2.6,0.89,0.39,2.54,1.13,0.41,0.18,5.22,,,,,,,
세하(주),027970,2021/12,1610,14.3,8.68,1.5,0.91,8.77,5.33,0.72,0.44,6.1,,,,,,,
세하(주),027970,2022/12,1125,48.07,25.41,1.08,0.57,17.31,9.15,0.48,0.25,9.16,,,,,,,
솔루스첨단소재(주),336370,2019/12,20350,,,,,,,,,,,494200175,4493419,13419835,567000,69994768,10179273
솔루스첨단소재(주),336370,2020/12,49550,54.74,13.44,15.89,3.9,83.8,20.57,17.47,4.29,52.53,-3.78,841168487,-11038453,66351710,7857000,290163176,30385574
솔루스첨단소재(주),336370,2021/12,89300,402.68,130.38,34.91,11.3,196.34,63.57,36.52,11.83,81.1,3.99,1011599746,154873,76108775,6457000,381167016,2040182
솔루스첨단소재(주),336370,2022/12,30000,98.88,31.07,9.34,2.93,94.56,29.72,29.28,9.2,24.79,-2.68,1461040406,-47211673,90611623,9676000,461219277,-45208870
송원산업(주),004430,2017/12,27000,24.67,12.93,1.72,0.9,11.94,6.26,1.19,0.62,15.19,9.6,865121000,34706000,100594000,0,724853000,54466000
송원산업(주),004430,2018/12,19050,102.01,48.45,1.91,0.91,15.2,7.22,1.24,0.59,15.2,9.61,872544000,37805000,101879000,0,788738000,54277000
송원산업(주),004430,2019/12,15550,17.9,10.23,1.47,0.84,10.59,6.05,0.95,0.54,7.53,8.24,894324000,35008000,107181000,0,814340000,59292000
송원산업(주),004430,2020/12,15950,25.38,10.31,0.94,0.38,6.93,2.81,0.68,0.28,8.5,6.17,891142000,28365000,95963000,0,807768000,68010000
송원산업(주),004430,2021/12,21450,9.68,6.03,1.14,0.71,0,0,0.69,0.43,7.74,13.3,1115649000,71209000,139311000,0,998190000,105714000
송원산업(주),004430,2022/12,17200,5.49,3.03,1.08,0.6,8.45,4.66,0.59,0.32,3.4,21.52,1217311000,131932000,116504000,0,1329509000,185116000
신대양제지(주),016590,2017/12,34850,6.77,4.45,0.52,0.34,9.72,6.39,0.43,0.29,5.25,10.37,725767416,27163787,35788519,0,512805673,28760715
신대양제지(주),016590,2018/12,59300,7.3,2.21,1.35,0.41,6.05,1.83,1.34,0.41,3.43,24.79,746772367,98437570,68028222,0,709355685,116632087
신대양제지(주),016590,2019/12,59500,11.78,6.4,1.09,0.59,12.3,6.68,1.48,0.8,5.13,14.26,768604073,72267792,69538576,0,646815209,94690809
신대양제지(주),016590,2020/12,63800,12.04,6.7,0.8,0.45,9.09,5.06,1.53,0.85,6.96,9.72,809132235,45706346,70022755,0,609205004,64604115
신대양제지(주),016590,2021/12,85700,16.84,9.88,1.17,0.69,293.36,172.08,1.72,1.01,10.42,11.31,845951512,60434796,70929084,0,681565905,54395725
신대양제지(주),016590,2022/12,86000,20.39,15.89,1.09,0.85,11.78,9.19,1.83,1.42,12.79,8.99,884529890,51281301,69810382,0,676402224,50861766
신라교역(주),004970,2017/12,16450,12.51,10.31,0.58,0.47,7.32,6.03,0.68,0.56,5.44,5.65,549948061,26512622,52334189,0,413095667,29401146
신라교역(주),004970,2018/12,12900,7.46,4.89,0.6,0.39,0,0,0.88,0.57,10.81,8.17,581034541,40403429,23732928,0,355250226,7432109
신라교역(주),004970,2019/12,11900,23.8,17.47,0.49,0.36,0,0,0.75,0.55,165.15,2.01,619927969,10313816,40083136,0,369645831,-4247760
신라교역(주),004970,2020/12,9140,33.17,17.6,0.38,0.2,198.68,105.41,0.6,0.32,0,1.48,629072905,7669342,50840630,0,372322115,-4878560
신라교역(주),004970,2021/12,13400,5.4,3.28,0.45,0.27,0,0,0.8,0.48,13.45,8.32,680457027,44526707,51629411,0,346502046,16894920
신라교역(주),004970,2022/12,11300,14.09,10.12,0.4,0.29,51.34,36.87,0.58,0.41,10.42,2.55,716401498,14194801,56985714,0,432649281,14467243
신세계건설(주),034300,2017/12,26250,6.13,3.58,1.16,0.68,0,0,0.17,0.1,5.23,,,,,,,
신세계건설(주),034300,2018/12,23950,3.58,2.04,0.83,0.47,2.43,1.38,0.14,0.08,3.72,,,,,,,
신세계건설(주),034300,2019/12,26300,8.19,5.02,0.76,0.46,2.38,1.46,0.14,0.09,2.87,,,,,,,
신세계건설(주),034300,2020/12,26850,10.4,4.74,0.65,0.3,3.51,1.6,0.13,0.06,2.87,,,,,,,
